wall time,step,value
1625376469.558944,0,0.023156864568591118
1625376529.376826,1,0.011675160378217697
1625376589.277294,2,0.011140859685838223
1625376649.341224,3,0.010900232009589672
1625376709.780154,4,0.010768253356218338
1625376770.42335,5,0.010634864680469036
1625376830.35863,6,0.010609983466565609
1625376890.097883,7,0.010553571395576
1625376950.401717,8,0.010501403361558914
1625377010.51335,9,0.010455355979502201
1625377070.837037,10,0.010452506132423878
1625377130.944445,11,0.01043755654245615
1625377191.465837,12,0.010381514206528664
1625377251.202416,13,0.010338953696191311
1625377311.133958,14,0.010357885621488094
1625377371.895058,15,0.010333698242902756
1625377433.006813,16,0.010308928787708282
1625377493.109734,17,0.010307841934263706
1625377552.083086,18,0.010260296985507011
1625377612.257169,19,0.010241543874144554
1625377673.527424,20,0.010247750207781792
1625377731.882054,21,0.010178683325648308
1625377791.940141,22,0.0102315042167902
1625377852.604007,23,0.010206510312855244
1625377912.925993,24,0.010242129676043987
1625377973.328305,25,0.010190966539084911
1625378033.153438,26,0.01020613219588995
1625378094.177457,27,0.010216989554464817
