wall time,step,value
1625374123.013821,0,0.02483622170984745
1625374183.575663,1,0.010446874424815178
1625374243.404116,2,0.010259530507028103
1625374302.791524,3,0.010176517069339752
1625374362.707724,4,0.01015151385217905
1625374422.484758,5,0.01008233055472374
1625374482.19935,6,0.010031060315668583
1625374542.593582,7,0.010021373629570007
1625374602.37114,8,0.00999319739639759
1625374662.342746,9,0.009951725602149963
1625374723.407652,10,0.009922076016664505
1625374784.652619,11,0.00992551352828741
1625374843.225995,12,0.009898252785205841
1625374902.984395,13,0.009881364181637764
1625374962.055905,14,0.009884752333164215
1625375021.353772,15,0.009844704531133175
1625375082.012674,16,0.009847259148955345
1625375141.745402,17,0.009824218228459358
1625375201.731443,18,0.009831922128796577
1625375261.260045,19,0.009799341671168804
1625375320.366036,20,0.009807790629565716
1625375379.533193,21,0.009792990051209927
1625375439.023105,22,0.009752468205988407
1625375498.227294,23,0.009779670275747776
1625375559.004003,24,0.009756463579833508
1625375618.817477,25,0.009762241505086422
1625375678.328638,26,0.009759762324392796
1625375738.251263,27,0.009743569418787956
1625375797.6444,28,0.009734246879816055
1625375857.17906,29,0.009747341275215149
1625375917.16069,30,0.00972745195031166
1625375977.655082,31,0.00974775105714798
1625376037.388395,32,0.00973051693290472
1625376096.274358,33,0.009743626229465008
1625376156.588111,34,0.00973077304661274
1625376215.975596,35,0.009724599309265614
1625376275.567792,36,0.00970152486115694
1625376334.379059,37,0.009721824899315834
1625376394.519475,38,0.009714054875075817
