wall time,step,value
1623150557.4463356,0,7.85429438110441e-05
1623150894.3808768,1,3.1976996979210526e-05
1623151132.9260488,2,2.842558387783356e-05
1623151317.2996693,3,2.7253681764705107e-05
1623151508.7203002,4,2.6964904463966377e-05
1623151674.469321,5,2.6852929295273498e-05
1623151842.6397157,6,2.6849495043279603e-05
1623152008.779121,7,2.636038334458135e-05
1623152172.652943,8,2.6258381694788113e-05
1623152337.8392265,9,2.6361112759332173e-05
1623152502.916216,10,2.611923628137447e-05
1623152670.7744212,11,2.5922015993273817e-05
1623152844.585525,12,2.606491034384817e-05
1623153017.8167615,13,2.58350555668585e-05
1623153187.1923344,14,2.600677908048965e-05
1623153350.092796,15,2.5989182176999748e-05
1623153515.5995843,16,2.5504277800791897e-05
1623153685.2204108,17,2.5615043341531418e-05
1623153844.4222498,18,2.531917198211886e-05
1623154001.3898401,19,2.538196713430807e-05
1623154157.904336,20,2.495613443898037e-05
1623154317.0438154,21,2.4251030481536873e-05
1623154485.0739207,22,2.3675222109886818e-05
1623154654.9164393,23,2.2394955522031523e-05
1623154855.9775286,24,2.0955039872205816e-05
1623155023.054468,25,2.013991615967825e-05
1623155191.9439397,26,1.95191205420997e-05
1623155377.4743464,27,1.9259192413301207e-05
1623155538.5200582,28,1.8762853869702667e-05
1623155705.0655737,29,1.8476470359019004e-05
1623155865.3298266,30,1.8323235053685494e-05
1623156027.3134258,31,1.825206527428236e-05
1623156187.9994507,32,1.80079550773371e-05
1623156356.4826503,33,1.770484959706664e-05
1623156518.2788153,34,1.7633705283515155e-05
1623156678.1055393,35,1.7453605323680677e-05
1623156839.635583,36,1.7332020433968864e-05
1623157008.0249634,37,1.705788054096047e-05
1623157175.430049,38,1.691678880888503e-05
1623157342.2257428,39,1.6726962712709792e-05
1623157512.3495584,40,1.6707204849808477e-05
1623157678.410975,41,1.6671008779667318e-05
1623157846.1598122,42,1.6475318261655048e-05
1623158009.2212229,43,1.636540036997758e-05
1623158172.2982676,44,1.6295667592203245e-05
1623158345.593804,45,1.624608012207318e-05
1623158507.467729,46,1.6095726095954888e-05
1623158669.3728092,47,1.617715497559402e-05
1623158838.5281963,48,1.5987567167030647e-05
1623159007.3080068,49,1.59151604748331e-05
1623159185.1192925,50,1.60316594701726e-05
1623159354.399348,51,1.568828520248644e-05
1623159521.7107399,52,1.5805822840775363e-05
1623159686.694432,53,1.56523547047982e-05
1623159849.1303208,54,1.560271812195424e-05
1623160017.8216548,55,1.5516365237999707e-05
1623160174.8148665,56,1.5434301531058736e-05
1623160335.0332527,57,1.5478586647077464e-05
1623160492.157193,58,1.5616289601894096e-05
1623160649.7654557,59,1.5337685908889398e-05
1623160804.9207523,60,1.5310357412090525e-05
1623160967.7479851,61,1.5312958566937596e-05
1623161133.6215563,62,1.5183216419245582e-05
1623161300.854778,63,1.5119584531930741e-05
1623161465.2914186,64,1.5258637176884804e-05
1623161625.024496,65,1.5048045497678686e-05
1623161789.6953895,66,1.5139153219934087e-05
1623161954.1474495,67,1.5030009308247827e-05
1623162114.8067966,68,1.505079217167804e-05
1623162270.978729,69,1.4973275028751232e-05
1623162432.8166697,70,1.4881904462527018e-05
1623162591.1122093,71,1.489658188802423e-05
1623162753.7355103,72,1.4858543181617279e-05
1623162918.999496,73,1.500571579526877e-05
1623163086.8256185,74,1.4722958439961076e-05
1623163256.0581224,75,1.4730704606336076e-05
1623163422.3688476,76,1.4730765542481095e-05
1623163581.0234795,77,1.4707934496982489e-05
1623163738.8344507,78,1.4575685781892389e-05
1623163895.4110384,79,1.4603802810597699e-05
1623164052.7528708,80,1.4613146959163714e-05
1623164210.4074707,81,1.4553060282196384e-05
1623164366.4527524,82,1.4501652913168073e-05
1623164558.1539445,83,1.452499236620497e-05
1623164748.7457345,84,1.4534723050019238e-05
1623164997.2276213,85,1.4388703675649595e-05
1623165271.4905303,86,1.4488791748590302e-05
1623165544.112855,87,1.4385504982783459e-05
1623165815.8137007,88,1.4367187759489752e-05
1623166098.1080081,89,1.4306511729955673e-05
1623166366.2457397,90,1.4406534319277853e-05
1623166624.3996284,91,1.429053554602433e-05
1623166788.539018,92,1.4289460523286834e-05
1623166951.1310291,93,1.4147567526379135e-05
1623167104.2387547,94,1.4300839211500715e-05
1623167256.5030708,95,1.4192377420840785e-05
1623167416.689125,96,1.4151536561257672e-05
1623167569.7817223,97,1.4157841178530362e-05
1623167723.3272188,98,1.4157980331219733e-05
1623167880.5910883,99,1.4054419807507657e-05
